min_score,max_rent,rent,apt_score
5,4768,0,
1,4772,4521,4
5,4773,0,
5,4777,0,
2,4779,4521,4
4,4785,4521,4
2,4791,4306,4
5,4794,0,
2,4801,4521,4
2,4806,4306,4
4,4825,4521,4
2,4831,4747,4
1,4849,4306,4
4,4877,4101,4
5,4880,0,
3,4892,4101,4
2,4894,4521,4
5,4895,0,
2,4895,4521,4
2,4898,4521,4
5,4903,0,
1,4916,4747,4
1,4921,4747,4
5,4964,0,
3,4976,4521,4
3,4979,4747,4
3,5014,4521,4
3,5029,4521,4
4,5033,4521,4
3,5086,4984,4
2,5121,4747,4
1,5121,4747,4
1,5137,4306,4
4,5139,4521,4
4,5170,4521,4
1,5183,4747,4
3,5191,4747,4
1,5202,4521,4
2,5209,4521,4
3,5221,4521,4
3,5236,4101,4
4,5239,4984,4
3,5249,4101,4
5,5251,0,
1,5264,4747,4
3,5273,4984,4
4,5289,4521,4
2,5305,4984,4
5,5310,0,
2,5312,4306,4
2,5320,4984,4
3,5334,5233,4
1,5334,4306,4
5,5345,0,
2,5371,4521,4
5,5387,0,
5,5389,0,
2,5402,4521,4
5,5411,0,
1,5413,4521,4
3,5432,4521,4
5,5444,0,
3,5518,4984,4
5,5526,0,
3,5537,4521,4
1,5546,4306,4
2,5548,4521,4
1,5559,4984,4
1,5591,4747,4
2,5594,4306,4
1,5596,4984,4
4,5609,4521,4
1,5621,4747,4
4,5646,4306,4
4,5664,4521,4
2,5674,5233,4
4,5679,4306,4
2,5686,4306,4
5,5688,0,
3,5694,4306,4
3,5695,4984,4
2,5712,4306,4
5,5747,0,
2,5754,4306,4
1,5778,4521,4
1,5799,4984,4
5,5804,0,
3,5834,4747,4
2,5853,4306,4
2,5854,4747,4
3,5860,4521,4
1,5878,4101,4
4,5883,4521,4
4,5886,4306,4
3,5886,4747,4
2,5916,4984,4
2,5934,4747,4
2,6005,4101,4
4,6005,4521,4
5,6033,0,
5,6051,0,
2,6061,4984,4
5,6092,0,
4,6097,4306,4
1,6098,4306,4
4,6123,4747,4
5,6128,0,
4,6142,4306,4
4,6171,5233,4
4,6190,4521,4
5,6229,0,
5,6267,0,
2,6301,4747,4
5,6315,0,
1,6322,4747,4
4,6328,4747,4
3,6360,4747,4
5,6394,0,
2,6412,5768,4
3,6440,5233,4
3,6460,4306,4
4,6463,4521,4
2,6463,4984,4
